-----------------------------------------------------------
Server listening on 5201
-----------------------------------------------------------
Accepted connection from 192.168.178.170, port 52294
[  6] local 192.168.178.117 port 5201 connected to 192.168.178.170 port 56875
[ ID] Interval           Transfer     Bandwidth       Jitter    Lost/Total Datagrams
[  6]   0.00-1.00   sec  1.18 MBytes  9.85 Mbits/sec  0.642 ms  0/845 (0%)  
[  6]   1.00-2.00   sec  1.41 MBytes  11.8 Mbits/sec  1.065 ms  0/1015 (0%)  
[  6]   2.00-3.00   sec  1.07 MBytes  9.02 Mbits/sec  0.579 ms  0/770 (0%)  
[  6]   3.00-4.00   sec  1.51 MBytes  12.7 Mbits/sec  0.647 ms  0/1088 (0%)  
[  6]   4.00-5.01   sec  1.63 MBytes  13.5 Mbits/sec  1.225 ms  1/1175 (0.085%)  
[  6]   5.01-6.01   sec  1.31 MBytes  11.0 Mbits/sec  3.016 ms  2/943 (0.21%)  
[  6]   6.01-7.01   sec  1.67 MBytes  14.0 Mbits/sec  1.168 ms  0/1196 (0%)  
[  6]   7.01-8.01   sec  1.66 MBytes  14.0 Mbits/sec  0.338 ms  1/1192 (0.084%)  
[  6]   8.01-9.01   sec  1.46 MBytes  12.3 Mbits/sec  3.831 ms  0/1048 (0%)  
[  6]   9.01-10.00  sec  1008 KBytes  8.30 Mbits/sec  1.158 ms  0/707 (0%)  
[  6]  10.00-11.01  sec  1.08 MBytes  9.00 Mbits/sec  3.512 ms  0/776 (0%)  
[  6]  11.01-12.00  sec  1.44 MBytes  12.2 Mbits/sec  2.153 ms  1/1036 (0.097%)  
[  6]  12.00-13.00  sec   964 KBytes  7.92 Mbits/sec  0.500 ms  5/681 (0.73%)  
[  6]  13.00-14.01  sec  1.59 MBytes  13.3 Mbits/sec  0.609 ms  0/1145 (0%)  
[  6]  14.01-15.00  sec  2.31 MBytes  19.5 Mbits/sec  0.557 ms  1/1662 (0.06%)  
[  6]  15.00-16.00  sec  2.88 MBytes  24.2 Mbits/sec  0.379 ms  0/2071 (0%)  
[  6]  16.00-17.00  sec  1.35 MBytes  11.3 Mbits/sec  8.988 ms  1/971 (0.1%)  
[  6]  17.00-18.01  sec  1.81 MBytes  15.1 Mbits/sec  0.296 ms  0/1297 (0%)  
[  6]  18.01-19.00  sec  1.82 MBytes  15.3 Mbits/sec  0.332 ms  0/1305 (0%)  
[  6]  19.00-20.00  sec  2.09 MBytes  17.5 Mbits/sec  0.285 ms  1/1500 (0.067%)  
[  6]  20.00-21.01  sec  2.37 MBytes  19.7 Mbits/sec  1.010 ms  0/1700 (0%)  
[  6]  21.01-22.00  sec  2.38 MBytes  20.0 Mbits/sec  0.833 ms  2/1709 (0.12%)  
[  6]  22.00-23.00  sec  1.32 MBytes  11.1 Mbits/sec  2.280 ms  0/951 (0%)  
[  6]  23.00-24.00  sec  1.00 MBytes  8.39 Mbits/sec  0.890 ms  0/719 (0%)  
[  6]  24.00-25.00  sec  1.70 MBytes  14.2 Mbits/sec  0.532 ms  1/1225 (0.082%)  
[  6]  25.00-26.01  sec  1.83 MBytes  15.3 Mbits/sec  3.135 ms  0/1315 (0%)  
[  6]  26.01-27.00  sec  1.65 MBytes  14.0 Mbits/sec  0.464 ms  0/1187 (0%)  
